relative_path	sha256	bytes
00_CONTROLLER_PRECHECK.json	b499d23ec9e59c1cedb697f909e0d60b33713572cc3ebc0436a576657c732217	449
00_README.md	55f9d9ba3ca9d7942179768ae385bd3dee81cad59773082a6c25746cbdfb2c36	11388
04_DELTAS_AND_QUESTIONS.tsv	e29554a1ba96f3783040d3350ff449b6b74d6cfd46370851bbc2f21879b4a2e6	2121
A1_EXECUTION_PROMPT.md	fd5920a22cd359874ac9e3a7aaa28b023b9187e8f9d9f5629024cc07450f94ca	12851
clean/C01_CAPABILITY_PROCESS.tsv	5affee8fa2c7ac1f3a311b1099a68a3461fe24e8fe1b40116c202f0b2021b664	20311
clean/C02_FUNCTION_CONTRACTS.tsv	aa8689aff81449f8658ea37e7a2c7a2ab4099dc787532056a240f954e4f9ed94	32401
clean/C03_STATE_EVENT.tsv	22d82e6e8425c4c4aa44bb0196469e30df70b96e63fd8947f0f8679eee557cbb	7175
clean/C04_RULES_DECISIONS.tsv	567494aae746fcdd7ef96733d9d7ac85732db408511502e90c9b876d2a236a3b	22616
clean/C05_ROLE_CONTROL.tsv	a6a7d7b511149e0fc1c624154727703c335eed242f34e0ae8e2b1f1910c4a60c	4761
clean/C06_EXCEPTIONS.tsv	f9c5802cbdcf07d8df6dc9d7b01315d3331d22420ad52466819d83d05559b746	7444
clean/C07_HANDOFFS.tsv	1c8ea597f2c2d8ca6839512882e86043900a995689bda11cef53980a1e630743	5726
clean/C08_ACCOUNTING_STOCK.tsv	b4a81e7c59e3f66e29065c2706a8ba9b9282f48e35802a6c664186ff1a2014ae	11386
clean/C09_SCENARIOS.tsv	088e397d77546aeee6224f944535f39bb02efe13f228e1ae7334b25d52e58d3e	20729
clean/C10_GLOSSARY.tsv	ff01c3177b257be948d128671887d176a1e1427f848cd2a2eb87b376339a368f	3475
clean/C11_GAPS_RUNTIME_REQUIRED.tsv	0e8dd76aa744183942eda8d1e3268f57d12e7c1f434c7ec83b3ee3eaa44b0726	8497
clean/D00_APPLICABILITY_MATRIX.tsv	94a54e31278689990409cc21c07adc9c288be068830f1ccb05869eed903cc5b6	12332
clean/D08_LOGICAL_DATA_CONTRACT.tsv	d585e32161b8938cd9ecb6a19a79f946d2de04798f6db95af58c6c16ad629eb6	5260
clean/D09_CONFIGURATION_MATRIX.tsv	bfd064d1a1ddfb36bb40dfe1b7be3bc1197e0b0c25df4fe9c9c4a3e747f76afc	3212
clean/D14_CONCURRENCY_MATRIX.tsv	317cf16aca2f4f967eebb73e9d1f119ecf13eb47a8a69172ce367b3533f0d310	3032
clean/D16_AUDIT_RETENTION.tsv	d14f9e12f4d91c886306bcf744aff80a261d6ab0239106846f8fef19578efe72	3226
clean/D18_SAAS_CONSTRAINTS.tsv	aec5428ac278db0aa4cd235c2cc5ab9821042d4f3fc7e24404834d1e71ea22f9	3787
clean/D23_INTERACTION_CONTRACT.tsv	5909042d5087b3ac5689afafdd74e3b7ba9156cb00af58f7b3d3df60bd903d66	4368
clean/D24_OUTPUT_SEMANTICS.tsv	2aae8a8c1510d356bd34df768531380c80896f39fde3332881928f754598d57a	2890
clean/D25_IMPORT_EXPORT_MIGRATION.tsv	fd7da91c55d522f2ff0cc449ab87961d17b7fe6e841f80f5fc92e0eced3ea3be	2979
restricted/R01B_SUBUNIT_ENUMERATION.tsv	cdb779490dfaf9d7dd7c3b5f3b21414e08f0aeec727b1b599544c7d3e76e9494	16548
restricted/R01_UNIT_INVENTORY.tsv	5221da81f709e654819467519e1fea1fbbdf33b69507d65497b1a746a0edf220	4805
restricted/R02_EVIDENCE_OBSERVATIONS.tsv	c30b5147850e2789ce6f4d8b20cf486ce37f3aa2eb90d01fa152857ec5a2478b	21700
restricted/R03_DEPENDENCIES.tsv	2186d81cc0437b1fdd637770d0a09dbbd05b896ee0b89ae7c66ecc01debbed78	5451
restricted/R04_LINEAGE_MAP.tsv	39da032e75ab058ffda7e4111f552f804a6fc25f47b7caf72b1f80f6b2e09404	447
restricted/R05_D07_SCHEMA_ORM_OBSERVATION.tsv	bf95cb0dc82f0cf3e279ad434ae9c6826d282f09e28158e4a0cd59a3691d8a1d	2807
restricted/R06_SEARCH_AND_COUNT_LOG.tsv	14860bc90a3ff00af5c0bdb5bf3f9b3e40ddcf604242394675d7c1d89eb687a1	6377
